timestamp,contenedor,cpu_pct,mem_uso,mem_limite,mem_pct,net_io,block_io
2026-07-21 11:41:43,mysql_principal,31.09%,395.4MiB,15.33GiB,2.52%,"6.92MB / 15.3MB","180kB / 279MB"
2026-07-21 11:41:51,nginx_balancer,2.78%,4.16MiB,15.33GiB,0.03%,"48.3MB / 48.7MB","0B / 12.3kB"
2026-07-21 11:41:51,app1,45.59%,38.68MiB,15.33GiB,0.25%,"12.5MB / 28.9MB","0B / 172kB"
2026-07-21 11:41:51,app2,34.69%,30.93MiB,15.33GiB,0.20%,"8.31MB / 19.3MB","0B / 172kB"
2026-07-21 11:41:51,app3,15.48%,27.81MiB,15.33GiB,0.18%,"4.21MB / 9.73MB","0B / 172kB"
2026-07-21 11:41:51,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:51,mysql_replica,8.89%,444.1MiB,15.33GiB,2.83%,"7.07MB / 8.3MB","1.04MB / 327MB"
2026-07-21 11:41:51,mysql_principal,19.64%,395.4MiB,15.33GiB,2.52%,"7.79MB / 16.8MB","180kB / 281MB"
2026-07-21 11:41:57,nginx_balancer,2.86%,4.16MiB,15.33GiB,0.03%,"53.4MB / 53.9MB","0B / 12.3kB"
2026-07-21 11:41:57,app1,58.22%,39.07MiB,15.33GiB,0.25%,"13.6MB / 31.5MB","0B / 172kB"
2026-07-21 11:41:57,app2,32.19%,30.91MiB,15.33GiB,0.20%,"9.2MB / 21.4MB","0B / 172kB"
2026-07-21 11:41:57,app3,16.91%,27.84MiB,15.33GiB,0.18%,"4.64MB / 10.7MB","0B / 172kB"
2026-07-21 11:41:57,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:41:57,mysql_replica,7.10%,443.8MiB,15.33GiB,2.83%,"7.43MB / 9.06MB","1.04MB / 327MB"
2026-07-21 11:41:57,mysql_principal,26.52%,395.4MiB,15.33GiB,2.52%,"8.66MB / 18.4MB","180kB / 284MB"
2026-07-21 11:42:04,nginx_balancer,3.01%,3.902MiB,15.33GiB,0.02%,"58.6MB / 59.2MB","0B / 12.3kB"
2026-07-21 11:42:04,app1,46.35%,38.77MiB,15.33GiB,0.25%,"15.1MB / 35MB","0B / 172kB"
2026-07-21 11:42:04,app2,33.19%,31.22MiB,15.33GiB,0.20%,"9.96MB / 23.3MB","0B / 172kB"
2026-07-21 11:42:04,app3,15.65%,28.04MiB,15.33GiB,0.18%,"5.07MB / 11.8MB","0B / 172kB"
2026-07-21 11:42:04,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:04,mysql_replica,8.98%,444.1MiB,15.33GiB,2.83%,"7.81MB / 9.89MB","1.04MB / 327MB"
2026-07-21 11:42:04,mysql_principal,21.48%,395.7MiB,15.33GiB,2.52%,"9.5MB / 19.9MB","180kB / 286MB"
2026-07-21 11:42:11,nginx_balancer,3.49%,3.883MiB,15.33GiB,0.02%,"63.5MB / 64.1MB","0B / 12.3kB"
2026-07-21 11:42:11,app1,65.08%,38.53MiB,15.33GiB,0.25%,"16.3MB / 37.7MB","0B / 172kB"
2026-07-21 11:42:11,app2,46.93%,31.28MiB,15.33GiB,0.20%,"11MB / 25.7MB","0B / 172kB"
2026-07-21 11:42:11,app3,24.23%,27.86MiB,15.33GiB,0.18%,"5.49MB / 12.7MB","0B / 172kB"
2026-07-21 11:42:11,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:11,mysql_replica,12.94%,444.1MiB,15.33GiB,2.83%,"8.17MB / 10.6MB","1.04MB / 327MB"
2026-07-21 11:42:11,mysql_principal,25.60%,395.4MiB,15.33GiB,2.52%,"10.3MB / 21.3MB","180kB / 287MB"
2026-07-21 11:42:18,nginx_balancer,3.86%,3.668MiB,15.33GiB,0.02%,"69.1MB / 69.7MB","0B / 12.3kB"
2026-07-21 11:42:18,app1,78.72%,38.55MiB,15.33GiB,0.25%,"17.6MB / 41MB","0B / 172kB"
2026-07-21 11:42:18,app2,46.93%,31.23MiB,15.33GiB,0.20%,"11.9MB / 28MB","0B / 172kB"
2026-07-21 11:42:18,app3,25.33%,27.93MiB,15.33GiB,0.18%,"5.98MB / 13.9MB","0B / 172kB"
2026-07-21 11:42:18,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:18,mysql_replica,14.64%,443.8MiB,15.33GiB,2.83%,"8.59MB / 11.6MB","1.04MB / 327MB"
2026-07-21 11:42:18,mysql_principal,20.81%,395.4MiB,15.33GiB,2.52%,"11MB / 22.6MB","180kB / 289MB"
2026-07-21 11:42:25,nginx_balancer,2.85%,3.652MiB,15.33GiB,0.02%,"74.4MB / 75.1MB","0B / 12.3kB"
2026-07-21 11:42:25,app1,43.60%,39.12MiB,15.33GiB,0.25%,"18.9MB / 44MB","0B / 172kB"
2026-07-21 11:42:25,app2,34.10%,31.04MiB,15.33GiB,0.20%,"12.8MB / 30.1MB","0B / 172kB"
2026-07-21 11:42:25,app3,17.45%,27.91MiB,15.33GiB,0.18%,"6.45MB / 15.1MB","0B / 172kB"
2026-07-21 11:42:25,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:25,mysql_replica,9.95%,443.9MiB,15.33GiB,2.83%,"8.99MB / 12.4MB","1.04MB / 327MB"
2026-07-21 11:42:25,mysql_principal,21.40%,395.7MiB,15.33GiB,2.52%,"11.9MB / 24.1MB","180kB / 291MB"
2026-07-21 11:42:32,nginx_balancer,3.95%,3.66MiB,15.33GiB,0.02%,"79.6MB / 80.3MB","0B / 12.3kB"
2026-07-21 11:42:32,app1,69.30%,38.66MiB,15.33GiB,0.25%,"20.2MB / 47.1MB","0B / 172kB"
2026-07-21 11:42:32,app2,46.38%,31.02MiB,15.33GiB,0.20%,"13.7MB / 32.2MB","0B / 172kB"
2026-07-21 11:42:32,app3,24.12%,27.92MiB,15.33GiB,0.18%,"6.89MB / 16.1MB","0B / 172kB"
2026-07-21 11:42:32,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:32,mysql_replica,13.31%,443.8MiB,15.33GiB,2.83%,"9.39MB / 13.3MB","1.04MB / 327MB"
2026-07-21 11:42:32,mysql_principal,27.76%,395.7MiB,15.33GiB,2.52%,"12.8MB / 25.7MB","180kB / 293MB"
2026-07-21 11:42:39,nginx_balancer,3.56%,3.906MiB,15.33GiB,0.02%,"85.3MB / 86MB","0B / 12.3kB"
2026-07-21 11:42:39,app1,58.60%,39.12MiB,15.33GiB,0.25%,"21.4MB / 50MB","0B / 172kB"
2026-07-21 11:42:39,app2,42.00%,31.31MiB,15.33GiB,0.20%,"14.6MB / 34.3MB","0B / 172kB"
2026-07-21 11:42:39,app3,22.42%,28.27MiB,15.33GiB,0.18%,"7.36MB / 17.3MB","0B / 172kB"
2026-07-21 11:42:39,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:39,mysql_replica,11.71%,443.8MiB,15.33GiB,2.83%,"9.82MB / 14.2MB","1.04MB / 327MB"
2026-07-21 11:42:39,mysql_principal,27.71%,395.5MiB,15.33GiB,2.52%,"13.5MB / 27MB","180kB / 295MB"
2026-07-21 11:42:46,nginx_balancer,2.88%,3.91MiB,15.33GiB,0.02%,"90.6MB / 91.4MB","0B / 12.3kB"
2026-07-21 11:42:46,app1,50.97%,38.61MiB,15.33GiB,0.25%,"23MB / 53.8MB","0B / 172kB"
2026-07-21 11:42:46,app2,31.98%,30.99MiB,15.33GiB,0.20%,"15.4MB / 36.3MB","0B / 172kB"
2026-07-21 11:42:46,app3,15.88%,28.23MiB,15.33GiB,0.18%,"7.75MB / 18.2MB","0B / 172kB"
2026-07-21 11:42:46,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:46,mysql_replica,10.77%,443.9MiB,15.33GiB,2.83%,"10.2MB / 15.1MB","1.04MB / 327MB"
2026-07-21 11:42:46,mysql_principal,21.14%,395.9MiB,15.33GiB,2.52%,"14.5MB / 28.7MB","180kB / 296MB"
2026-07-21 11:42:53,nginx_balancer,3.41%,3.906MiB,15.33GiB,0.02%,"95.4MB / 96.2MB","0B / 12.3kB"
2026-07-21 11:42:53,app1,56.31%,39.35MiB,15.33GiB,0.25%,"24.2MB / 56.6MB","0B / 172kB"
2026-07-21 11:42:53,app2,38.97%,31.25MiB,15.33GiB,0.20%,"16.4MB / 38.6MB","0B / 172kB"
2026-07-21 11:42:53,app3,20.91%,28.35MiB,15.33GiB,0.18%,"8.3MB / 19.6MB","0B / 172kB"
2026-07-21 11:42:53,db_admin,0.01%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:42:53,mysql_replica,11.79%,443.9MiB,15.33GiB,2.83%,"10.7MB / 16MB","1.04MB / 327MB"
2026-07-21 11:42:53,mysql_principal,27.33%,395.5MiB,15.33GiB,2.52%,"15.4MB / 30.3MB","180kB / 298MB"
2026-07-21 11:43:01,nginx_balancer,2.90%,3.898MiB,15.33GiB,0.02%,"101MB / 102MB","0B / 12.3kB"
2026-07-21 11:43:01,app1,50.05%,38.61MiB,15.33GiB,0.25%,"25.7MB / 60.3MB","0B / 172kB"
2026-07-21 11:43:01,app2,34.13%,31.06MiB,15.33GiB,0.20%,"17.2MB / 40.5MB","0B / 172kB"
2026-07-21 11:43:01,app3,15.32%,28.06MiB,15.33GiB,0.18%,"8.68MB / 20.4MB","0B / 172kB"
2026-07-21 11:43:01,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:01,mysql_replica,8.93%,443.9MiB,15.33GiB,2.83%,"11.1MB / 16.8MB","1.04MB / 327MB"
2026-07-21 11:43:01,mysql_principal,20.97%,395.7MiB,15.33GiB,2.52%,"16.2MB / 31.7MB","180kB / 299MB"
2026-07-21 11:43:07,nginx_balancer,3.07%,3.914MiB,15.33GiB,0.02%,"107MB / 108MB","0B / 12.3kB"
2026-07-21 11:43:07,app1,54.75%,38.96MiB,15.33GiB,0.25%,"27.1MB / 63.7MB","0B / 172kB"
2026-07-21 11:43:07,app2,33.37%,31.14MiB,15.33GiB,0.20%,"18.2MB / 42.9MB","0B / 172kB"
2026-07-21 11:43:07,app3,13.90%,28.13MiB,15.33GiB,0.18%,"9.15MB / 21.5MB","0B / 172kB"
2026-07-21 11:43:07,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:07,mysql_replica,9.69%,443.9MiB,15.33GiB,2.83%,"11.5MB / 17.8MB","1.04MB / 327MB"
2026-07-21 11:43:07,mysql_principal,23.77%,395.7MiB,15.33GiB,2.52%,"16.9MB / 33MB","180kB / 300MB"
2026-07-21 11:43:14,nginx_balancer,3.43%,3.871MiB,15.33GiB,0.02%,"112MB / 113MB","0B / 12.3kB"
2026-07-21 11:43:14,app1,49.35%,38.85MiB,15.33GiB,0.25%,"28.3MB / 66.6MB","0B / 172kB"
2026-07-21 11:43:14,app2,38.85%,31.11MiB,15.33GiB,0.20%,"19MB / 45MB","0B / 172kB"
2026-07-21 11:43:14,app3,16.49%,28.06MiB,15.33GiB,0.18%,"9.5MB / 22.4MB","0B / 172kB"
2026-07-21 11:43:14,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:14,mysql_replica,7.72%,443.9MiB,15.33GiB,2.83%,"11.9MB / 18.6MB","1.04MB / 327MB"
2026-07-21 11:43:14,mysql_principal,26.69%,395.5MiB,15.33GiB,2.52%,"17.9MB / 34.7MB","180kB / 302MB"
2026-07-21 11:43:21,nginx_balancer,2.90%,3.672MiB,15.33GiB,0.02%,"117MB / 118MB","0B / 12.3kB"
2026-07-21 11:43:21,app1,50.13%,38.63MiB,15.33GiB,0.25%,"29.7MB / 70MB","0B / 172kB"
2026-07-21 11:43:21,app2,34.06%,31.27MiB,15.33GiB,0.20%,"19.9MB / 46.9MB","0B / 172kB"
2026-07-21 11:43:21,app3,18.88%,28.12MiB,15.33GiB,0.18%,"9.98MB / 23.4MB","0B / 172kB"
2026-07-21 11:43:21,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:21,mysql_replica,9.48%,444.1MiB,15.33GiB,2.83%,"12.2MB / 19.4MB","1.04MB / 327MB"
2026-07-21 11:43:21,mysql_principal,22.76%,395.5MiB,15.33GiB,2.52%,"18.7MB / 36.2MB","180kB / 303MB"
2026-07-21 11:43:28,nginx_balancer,2.65%,3.66MiB,15.33GiB,0.02%,"123MB / 124MB","0B / 12.3kB"
2026-07-21 11:43:28,app1,48.84%,38.64MiB,15.33GiB,0.25%,"31MB / 73MB","0B / 172kB"
2026-07-21 11:43:28,app2,36.54%,31.08MiB,15.33GiB,0.20%,"20.7MB / 49MB","0B / 172kB"
2026-07-21 11:43:28,app3,15.88%,28.59MiB,15.33GiB,0.18%,"10.4MB / 24.6MB","0B / 172kB"
2026-07-21 11:43:28,db_admin,0.00%,12.14MiB,15.33GiB,0.08%,"2.05kB / 126B","0B / 8.19kB"
2026-07-21 11:43:28,mysql_replica,9.22%,444.1MiB,15.33GiB,2.83%,"12.6MB / 20.2MB","1.04MB / 327MB"
2026-07-21 11:43:28,mysql_principal,25.53%,395.5MiB,15.33GiB,2.52%,"19.5MB / 37.5MB","180kB / 304MB"
2026-07-21 11:43:35,nginx_balancer,3.16%,3.914MiB,15.33GiB,0.02%,"128MB / 129MB","0B / 12.3kB"
2026-07-21 11:43:35,app1,47.84%,39.16MiB,15.33GiB,0.25%,"32.2MB / 75.7MB","0B / 172kB"
2026-07-21 11:43:35,app2,30.70%,31.37MiB,15.33GiB,0.20%,"21.6MB / 51.1MB","0B / 172kB"
2026-07-21 11:43:35,app3,17.71%,28.11MiB,15.33GiB,0.18%,"10.8MB / 25.5MB","0B / 172kB"
